,News Source,cleaned_text,sentiment
1114,Mbu,nyege nyege festival 2023 uganda waragi village delights attendees,Neutral
1115,Independent,the uganda waragi village was the place to be at nyege nyege 2023,Neutral
1116,chimpreports.com,fun factory to celebrate 20 years of comedy with big sunday comedy show,Positive
1117,Mbu,ugandas first 3d ooh billboard unveiled with lemon and ginger,Positive
1118,Monitor,come uganda coffee dance with me  monitor,Neutral
1119,Mbu,natasha karungi the creative maestro behind uganda waragis limited edition lemon and ginger,Positive
1120,Independent,waragi helps reduce ugandas inflation to lowest level in a year,Neutral
1121,Independent,kadaga nyege nyege is secure enjoy your lives,Positive
1122,Mbu,hon rebecca kadaga to officially open 2023 nyege nyege festival,Neutral
1123,Independent,how nyege nyege 2023 attendees embraced positive drinking initiatives,Positive
1124,Monitor,uganda places fifth on alcohol drinking index,Neutral
1125,Mbu,what you missed at fun factorys big sunday comedy show photos,Positive
1126,The East African,let us all grow bananas make more pads distil more waragi,Positive
1127,Uganda Radio Network,govt vehicle intercepted carrying illicit gin  uganda radionetwork,Neutral
1128,Monitor,addressing illicit alcohol in uganda  monitor,Neutral
1129,Mbu,sheilah gashumba stanley ssempijja win big at tea awards 2023,Positive
1130,Independent,uganda waragi wins 22nd gold monde selection award,Positive
1131,chimpreports.com,uganda waragi takes on sponsorship as nyege nyege fest heads to itanda falls,Neutral
1132,The Observer,alcohol control bill an opportunity to fight illicit alcohol,Neutral
1133,chimpreports.com,uganda waragi builds entire village at nyegenyege,Neutral
1134,Monitor,parents give alcohol to children to treat cough,Neutral
1135,Monitor,waragi in sachets silently ruining lives  monitor,Neutral
1136,Ghafla!,uganda high commission takes uganda waragi to london,Positive
1137,Al Jazeera English,ugandas ongoing struggle with moonshine,Neutral
1138,Anadolu Agency | English,bootleg liquor kills at least 12 in uganda 18 more in hospital,Negative
1139,Monitor,sachet waragi poses serious health risks in uganda,Negative
1140,Independent,uganda waragi jesa and wavah water make their debut on uganda airlines,Neutral
1141,Monitor,police close waragi factory after 12 die  monitor,Neutral
1142,chimpreports.com,uganda waragi unveils uganda comedy sponsorship as africa laughs returns,Neutral
1143,Ghafla!,uganda waragi awards our best deejays,Positive
1144,chimpreports.com,15 staff fired after digital tax system reveals they were duplicating uganda waragi va bond 7,Neutral
1145,chimpreports.com,photos uganda waragi launches pina colada weekend,Neutral
1146,Monitor,6 die after consuming local waragi in arua,Neutral
1147,Monitor,govt permits manufacturers to turn ethanol into hand sanitizers,Neutral
1148,Monitor,waragi an ambitious brew of words  monitor,Positive
1149,Ghafla!,irene ntale lights up uganda waragi comedy night,Neutral
1150,Monitor,study finds deadly metals in sachet waragi sold in acholi,Negative
1151,Ghafla!,uganda waragi to sponsor dj roja and slick stuart mix tape party4,Positive
1152,chimpreports.com,ubl products dominate nyege nyege festival 2019 edition,Neutral
1153,Monitor,security personnel destroy 4000 jerricans of waragi in karamoja,Negative
1154,The Observer,waragi wavah water first local brands on uganda airlines,Positive
1155,chimpreports.com,photos uganda waragi holds countrys first cocktail festival,Positive
1156,Monitor,man dies after drinking one litre of waragi,Neutral
1157,Monitor,waragi presidential gifts and illusion of democracy,Neutral
1158,New Vision,nyege nyege festival unveils artistes lineup sponsors,Neutral
1159,chimpreports.com,opinion sachet waragi poses serious health risks in uganda,Negative
1160,chimpreports.com,nyege nyege picks up steam on day 2,Neutral
1161,Music In Africa,uganda dj talent search launched  music in africa,Neutral
1162,Monitor,waragi kills 18 in moroto  monitor,Neutral
1163,Kampala Dispatch,uganda waragi wavah water first local brands on revived uganda airlines,Positive
1164,The Observer,lab tests find hazardous metals in all ugandas sachet waragi,Positive
1165,Monitor,survivors of toxic gin have gone blind,Negative
1166,chimpreports.com,itanda locals mint millions as nyege nyege 2022 winds up,Neutral
1167,Monitor,illicit alcohol the silent plague afflicting karimojong,Neutral
1168,AllAfrica - Top Africa News,uganda 300 artists lined up for mtn nyege nyege festival,Neutral
1169,Monitor,waragi distillers pollute mbale city water sources,Neutral
1170,theinvestigatornews.com,ugandas foreign missions toast to 56th independence anniversary with uganda waragi,Positive
1171,Monitor,killer waragi makers on the run tayebwa orders ban on adverts,Neutral
1172,pmldaily.com,ura deals big blow to noncomplaint waragi manufacturer over flouting rules on digital tax stamps,Neutral
1173,Monitor,banned waragi still selling in kitgum  monitor,Neutral
1174,chimpreports.com,photos africa laughs returns with comedic masterpiece,Neutral
1175,chimpreports.com,there are no metals in ugandas sachet waragi unbs,Neutral
1176,Monitor,three hospitalised after drinking crude waragi on christmas,Neutral
1177,Uganda Radio Network,illicit waragi distilling resumes in mbale despite ban  uganda radionetwork,Neutral
1178,chimpreports.com,kadaga to make case for nyege nyege in cabinet,Neutral
1179,KT Press,we are not targeting ugandan products rwanda revenue boss,Neutral
1180,Independent,minister aceng tasks lango districts to ban sachet waragi,Neutral
1181,New Vision,sale of sachet waragi comes to an end,Neutral
1182,Supply Chain Digital,uganda breweries procuring from local communities to drive change in uganda,Neutral
1183,Uganda Radio Network,moroto waragi dealers defy sale ban business booms  uganda radionetwork,Neutral
1185,The Observer,does drinking cocktails make you less of a man,Negative
1186,Mbu,rockshore tropical lager  ugandas first flavoured beer unveiled by ubl,Positive
1187,The Observer,pina colada courts ugandans  kampala,Neutral
1188,chimpreports.com,covid19 kabale authorities ban waragi brewing to stop influx of rwandans into uganda,Neutral
1189,Kampala Dispatch,residents exchange national ids for local brew waragi in northern uganda,Neutral
1190,Uganda Radio Network,unbs seizes 7240 liters of waragi from lira gulu cities  uganda radionetwork,Neutral
1191,Kampala Dispatch,ugandan manufacturers operating at night to evade digital tracking system,Neutral
1193,New Vision,kampala comedians thrill mbale residents,Neutral
1194,The Observer,kampala cocktail week to come in december,Neutral
1195,chimpreports.com,photos ykee benda thrills fans at the ug maverick fiesta,Neutral
1197,chimpreports.com,implement sachet waragi ban now  mps implore,Neutral
1198,New Vision,unbs seals off gin manufacturers,Neutral
1199,chimpreports.com,covid19 updf arrests three for brewing waragi,Neutral
1200,chimpreports.com,rukungiri man drinks self to death,Neutral
1201,theinvestigatornews.com,ug pineapple comedy attracts revelers back to laftz lounge,Neutral
1202,thetowerpost.com,waragi helps reduce ugandas inflation to lowest level in a year  towerpostnews,Neutral
1203,thetowerpost.com,photos uganda waragi pineapple hits the shelves  towerpostnews,Neutral
